Year,State,State Code,Ten-Year Age Groups,Multiple Cause of death,Multiple Cause of death Code,Deaths,Population,Crude Rate
1999,Connecticut,9,85+ years,Removal of other organ (partial) (total),Y83.6,15,62821,Unreliable
1999,Connecticut,9,85+ years,"Surgical procedure, unspecified",Y83.9,12,62821,Unreliable
1999,Florida,12,35-44 years,Surgical operation with transplant of whole organ,Y83.0,10,2456475,Unreliable
1999,Florida,12,45-54 years,Surgical operation with transplant of whole organ,Y83.0,24,1991942,1.2
1999,Florida,12,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,11,1991942,Unreliable
1999,Florida,12,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,16,1991942,Unreliable
1999,Florida,12,45-54 years,"Surgical procedure, unspecified",Y83.9,16,1991942,Unreliable
1999,Florida,12,55-64 years,Surgical operation with transplant of whole organ,Y83.0,27,1509450,1.8
1999,Florida,12,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,14,1509450,Unreliable
1999,Florida,12,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,46,1509450,3
1999,Florida,12,55-64 years,Other reconstructive surgery,Y83.4,10,1509450,Unreliable
1999,Florida,12,55-64 years,Removal of other organ (partial) (total),Y83.6,25,1509450,1.7
1999,Florida,12,55-64 years,Other surgical procedures,Y83.8,13,1509450,Unreliable
1999,Florida,12,55-64 years,"Surgical procedure, unspecified",Y83.9,26,1509450,1.7
1999,Florida,12,65-74 years,Surgical operation with transplant of whole organ,Y83.0,17,1462865,Unreliable
1999,Florida,12,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,57,1462865,3.9
1999,Florida,12,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,124,1462865,8.5
1999,Florida,12,65-74 years,Other reconstructive surgery,Y83.4,49,1462865,3.3
1999,Florida,12,65-74 years,Amputation of limb(s),Y83.5,11,1462865,Unreliable
1999,Florida,12,65-74 years,Removal of other organ (partial) (total),Y83.6,67,1462865,4.6
1999,Florida,12,65-74 years,Other surgical procedures,Y83.8,27,1462865,1.8
1999,Florida,12,65-74 years,"Surgical procedure, unspecified",Y83.9,55,1462865,3.8
1999,Florida,12,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,85,1012330,8.4
1999,Florida,12,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,129,1012330,12.7
1999,Florida,12,75-84 years,Surgical operation with formation of external stoma,Y83.3,14,1012330,Unreliable
1999,Florida,12,75-84 years,Other reconstructive surgery,Y83.4,52,1012330,5.1
1999,Florida,12,75-84 years,Amputation of limb(s),Y83.5,15,1012330,Unreliable
1999,Florida,12,75-84 years,Removal of other organ (partial) (total),Y83.6,78,1012330,7.7
1999,Florida,12,75-84 years,Other surgical procedures,Y83.8,32,1012330,3.2
1999,Florida,12,75-84 years,"Surgical procedure, unspecified",Y83.9,93,1012330,9.2
1999,Florida,12,85+ years,Surgical operation with implant of artificial internal device,Y83.1,49,322911,15.2
1999,Florida,12,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,21,322911,6.5
1999,Florida,12,85+ years,Other reconstructive surgery,Y83.4,17,322911,Unreliable
1999,Florida,12,85+ years,Removal of other organ (partial) (total),Y83.6,38,322911,11.8
1999,Florida,12,85+ years,Other surgical procedures,Y83.8,12,322911,Unreliable
1999,Florida,12,85+ years,"Surgical procedure, unspecified",Y83.9,50,322911,15.5
1999,Georgia,13,35-44 years,"Surgical procedure, unspecified",Y83.9,14,1335448,Unreliable
1999,Georgia,13,45-54 years,Surgical operation with transplant of whole organ,Y83.0,11,1046564,Unreliable
1999,Georgia,13,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,1046564,Unreliable
1999,Georgia,13,45-54 years,"Surgical procedure, unspecified",Y83.9,29,1046564,2.8
1999,Georgia,13,55-64 years,Surgical operation with transplant of whole organ,Y83.0,14,642834,Unreliable
1999,Georgia,13,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,30,642834,4.7
1999,Georgia,13,55-64 years,Removal of other organ (partial) (total),Y83.6,11,642834,Unreliable
1999,Georgia,13,55-64 years,Other surgical procedures,Y83.8,10,642834,Unreliable
1999,Georgia,13,55-64 years,"Surgical procedure, unspecified",Y83.9,65,642834,10.1
1999,Georgia,13,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,16,431276,Unreliable
1999,Georgia,13,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,37,431276,8.6
1999,Georgia,13,65-74 years,Other reconstructive surgery,Y83.4,10,431276,Unreliable
1999,Georgia,13,65-74 years,Removal of other organ (partial) (total),Y83.6,21,431276,4.9
1999,Georgia,13,65-74 years,Other surgical procedures,Y83.8,16,431276,Unreliable
1999,Georgia,13,65-74 years,"Surgical procedure, unspecified",Y83.9,110,431276,25.5
1999,Georgia,13,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,29,261145,11.1
1999,Georgia,13,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,23,261145,8.8
1999,Georgia,13,75-84 years,Other reconstructive surgery,Y83.4,12,261145,Unreliable
1999,Georgia,13,75-84 years,Removal of other organ (partial) (total),Y83.6,19,261145,Unreliable
1999,Georgia,13,75-84 years,Other surgical procedures,Y83.8,13,261145,Unreliable
1999,Georgia,13,75-84 years,"Surgical procedure, unspecified",Y83.9,95,261145,36.4
1999,Georgia,13,85+ years,Surgical operation with implant of artificial internal device,Y83.1,26,86409,30.1
1999,Georgia,13,85+ years,Removal of other organ (partial) (total),Y83.6,10,86409,Unreliable
1999,Georgia,13,85+ years,"Surgical procedure, unspecified",Y83.9,67,86409,77.5
1999,Hawaii,15,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,11,85462,Unreliable
1999,Hawaii,15,85+ years,Surgical operation with implant of artificial internal device,Y83.1,10,16908,Unreliable
1999,Idaho,16,65-74 years,"Surgical procedure, unspecified",Y83.9,10,75364,Unreliable
1999,Idaho,16,75-84 years,"Surgical procedure, unspecified",Y83.9,14,51252,Unreliable
1999,Idaho,16,85+ years,"Surgical procedure, unspecified",Y83.9,10,17544,Unreliable
1999,Illinois,17,35-44 years,Surgical operation with transplant of whole organ,Y83.0,12,1987201,Unreliable
1999,Illinois,17,35-44 years,"Surgical procedure, unspecified",Y83.9,10,1987201,Unreliable
1999,Illinois,17,45-54 years,Surgical operation with transplant of whole organ,Y83.0,16,1584101,Unreliable
1999,Illinois,17,45-54 years,Surgical operation with implant of artificial internal device,Y83.1,11,1584101,Unreliable
1999,Illinois,17,45-54 years,"Surgical procedure, unspecified",Y83.9,29,1584101,1.8
1999,Illinois,17,55-64 years,Surgical operation with transplant of whole organ,Y83.0,28,1029288,2.7
1999,Illinois,17,55-64 years,Surgical operation with implant of artificial internal device,Y83.1,22,1029288,2.1
1999,Illinois,17,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,31,1029288,3
1999,Illinois,17,55-64 years,Removal of other organ (partial) (total),Y83.6,12,1029288,Unreliable
1999,Illinois,17,55-64 years,"Surgical procedure, unspecified",Y83.9,37,1029288,3.6
1999,Illinois,17,65-74 years,Surgical operation with transplant of whole organ,Y83.0,12,778076,Unreliable
1999,Illinois,17,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,27,778076,3.5
1999,Illinois,17,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,55,778076,7.1
1999,Illinois,17,65-74 years,Other reconstructive surgery,Y83.4,24,778076,3.1
1999,Illinois,17,65-74 years,Removal of other organ (partial) (total),Y83.6,33,778076,4.2
1999,Illinois,17,65-74 years,"Surgical procedure, unspecified",Y83.9,77,778076,9.9
1999,Illinois,17,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,46,533368,8.6
1999,Illinois,17,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,58,533368,10.9
1999,Illinois,17,75-84 years,Other reconstructive surgery,Y83.4,13,533368,Unreliable
1999,Illinois,17,75-84 years,Removal of other organ (partial) (total),Y83.6,39,533368,7.3
1999,Illinois,17,75-84 years,Other surgical procedures,Y83.8,12,533368,Unreliable
1999,Illinois,17,75-84 years,"Surgical procedure, unspecified",Y83.9,151,533368,28.3
1999,Illinois,17,85+ years,Surgical operation with implant of artificial internal device,Y83.1,35,188400,18.6
1999,Illinois,17,85+ years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,188400,Unreliable
1999,Illinois,17,85+ years,Other reconstructive surgery,Y83.4,10,188400,Unreliable
1999,Illinois,17,85+ years,Amputation of limb(s),Y83.5,16,188400,Unreliable
1999,Illinois,17,85+ years,Removal of other organ (partial) (total),Y83.6,17,188400,Unreliable
1999,Illinois,17,85+ years,"Surgical procedure, unspecified",Y83.9,85,188400,45.1
1999,Indiana,18,45-54 years,Surgical operation with transplant of whole organ,Y83.0,12,795740,Unreliable
1999,Indiana,18,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,13,795740,Unreliable
1999,Indiana,18,55-64 years,Surgical operation with transplant of whole organ,Y83.0,18,522962,Unreliable
1999,Indiana,18,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,32,522962,6.1
1999,Indiana,18,55-64 years,"Surgical procedure, unspecified",Y83.9,14,522962,Unreliable
1999,Indiana,18,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,17,397080,Unreliable
1999,Indiana,18,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,49,397080,12.3
1999,Indiana,18,65-74 years,Other reconstructive surgery,Y83.4,13,397080,Unreliable
1999,Indiana,18,65-74 years,Removal of other organ (partial) (total),Y83.6,12,397080,Unreliable
1999,Indiana,18,65-74 years,"Surgical procedure, unspecified",Y83.9,22,397080,5.5
1999,Indiana,18,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,22,263559,8.3
1999,Indiana,18,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,41,263559,15.6
1999,Indiana,18,75-84 years,Other reconstructive surgery,Y83.4,17,263559,Unreliable
1999,Indiana,18,75-84 years,Removal of other organ (partial) (total),Y83.6,17,263559,Unreliable
1999,Indiana,18,75-84 years,Other surgical procedures,Y83.8,13,263559,Unreliable
1999,Indiana,18,75-84 years,"Surgical procedure, unspecified",Y83.9,41,263559,15.6
1999,Indiana,18,85+ years,Surgical operation with implant of artificial internal device,Y83.1,18,90274,Unreliable
1999,Indiana,18,85+ years,Removal of other organ (partial) (total),Y83.6,10,90274,Unreliable
1999,Indiana,18,85+ years,"Surgical procedure, unspecified",Y83.9,17,90274,Unreliable
1999,Iowa,19,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,14,213277,Unreliable
1999,Iowa,19,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,21,213277,9.8
1999,Iowa,19,65-74 years,Removal of other organ (partial) (total),Y83.6,17,213277,Unreliable
1999,Iowa,19,65-74 years,"Surgical procedure, unspecified",Y83.9,13,213277,Unreliable
1999,Iowa,19,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,24,158946,15.1
1999,Iowa,19,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,28,158946,17.6
1999,Iowa,19,75-84 years,Other reconstructive surgery,Y83.4,12,158946,Unreliable
1999,Iowa,19,75-84 years,Removal of other organ (partial) (total),Y83.6,23,158946,14.5
1999,Iowa,19,75-84 years,"Surgical procedure, unspecified",Y83.9,21,158946,13.2
1999,Iowa,19,85+ years,Surgical operation with implant of artificial internal device,Y83.1,14,64782,Unreliable
1999,Iowa,19,85+ years,Removal of other organ (partial) (total),Y83.6,14,64782,Unreliable
1999,Iowa,19,85+ years,"Surgical procedure, unspecified",Y83.9,22,64782,34
1999,Kansas,20,65-74 years,"Surgical procedure, unspecified",Y83.9,12,177263,Unreliable
1999,Kansas,20,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,14,127928,Unreliable
1999,Kansas,20,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,18,127928,Unreliable
1999,Kansas,20,75-84 years,"Surgical procedure, unspecified",Y83.9,28,127928,21.9
1999,Kansas,20,85+ years,Surgical operation with implant of artificial internal device,Y83.1,13,51497,Unreliable
1999,Kansas,20,85+ years,"Surgical procedure, unspecified",Y83.9,20,51497,38.8
1999,Kentucky,21,55-64 years,Surgical operation with transplant of whole organ,Y83.0,14,365988,Unreliable
1999,Kentucky,21,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,365988,Unreliable
1999,Kentucky,21,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,10,274018,Unreliable
1999,Kentucky,21,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,40,274018,14.6
1999,Kentucky,21,65-74 years,Other reconstructive surgery,Y83.4,10,274018,Unreliable
1999,Kentucky,21,65-74 years,Removal of other organ (partial) (total),Y83.6,20,274018,7.3
1999,Kentucky,21,65-74 years,"Surgical procedure, unspecified",Y83.9,16,274018,Unreliable
1999,Kentucky,21,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,15,170785,Unreliable
1999,Kentucky,21,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,37,170785,21.7
1999,Kentucky,21,75-84 years,Other reconstructive surgery,Y83.4,12,170785,Unreliable
1999,Kentucky,21,75-84 years,Removal of other organ (partial) (total),Y83.6,12,170785,Unreliable
1999,Kentucky,21,75-84 years,"Surgical procedure, unspecified",Y83.9,27,170785,15.8
1999,Kentucky,21,85+ years,"Surgical procedure, unspecified",Y83.9,19,57514,Unreliable
1999,Louisiana,22,45-54 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,570443,Unreliable
1999,Louisiana,22,45-54 years,"Surgical procedure, unspecified",Y83.9,10,570443,Unreliable
1999,Louisiana,22,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,19,373236,Unreliable
1999,Louisiana,22,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,11,283633,Unreliable
1999,Louisiana,22,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,33,283633,11.6
1999,Louisiana,22,65-74 years,Removal of other organ (partial) (total),Y83.6,13,283633,Unreliable
1999,Louisiana,22,65-74 years,"Surgical procedure, unspecified",Y83.9,15,283633,Unreliable
1999,Louisiana,22,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,11,172924,Unreliable
1999,Louisiana,22,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,22,172924,12.7
1999,Louisiana,22,75-84 years,Other reconstructive surgery,Y83.4,14,172924,Unreliable
1999,Louisiana,22,75-84 years,Removal of other organ (partial) (total),Y83.6,10,172924,Unreliable
1999,Louisiana,22,75-84 years,"Surgical procedure, unspecified",Y83.9,20,172924,11.6
1999,Louisiana,22,85+ years,"Surgical procedure, unspecified",Y83.9,16,57390,Unreliable
1999,Maine,23,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,12,95974,Unreliable
1999,Maine,23,65-74 years,"Surgical procedure, unspecified",Y83.9,11,95974,Unreliable
1999,Maine,23,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,10,62824,Unreliable
1999,Maryland,24,45-54 years,Surgical operation with transplant of whole organ,Y83.0,14,734690,Unreliable
1999,Maryland,24,55-64 years,Surgical operation with transplant of whole organ,Y83.0,14,458782,Unreliable
1999,Maryland,24,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,14,458782,Unreliable
1999,Maryland,24,55-64 years,"Surgical procedure, unspecified",Y83.9,13,458782,Unreliable
1999,Maryland,24,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,27,321571,8.4
1999,Maryland,24,65-74 years,Other reconstructive surgery,Y83.4,13,321571,Unreliable
1999,Maryland,24,65-74 years,Amputation of limb(s),Y83.5,11,321571,Unreliable
1999,Maryland,24,65-74 years,Removal of other organ (partial) (total),Y83.6,26,321571,8.1
1999,Maryland,24,65-74 years,"Surgical procedure, unspecified",Y83.9,14,321571,Unreliable
1999,Maryland,24,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,25,207898,12
1999,Maryland,24,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,35,207898,16.8
1999,Maryland,24,75-84 years,Other reconstructive surgery,Y83.4,18,207898,Unreliable
1999,Maryland,24,75-84 years,Removal of other organ (partial) (total),Y83.6,19,207898,Unreliable
1999,Maryland,24,75-84 years,"Surgical procedure, unspecified",Y83.9,23,207898,11.1
1999,Maryland,24,85+ years,Surgical operation with implant of artificial internal device,Y83.1,10,65553,Unreliable
1999,Maryland,24,85+ years,Removal of other organ (partial) (total),Y83.6,16,65553,Unreliable
1999,Massachusetts,25,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,18,431042,Unreliable
1999,Massachusetts,25,65-74 years,Removal of other organ (partial) (total),Y83.6,10,431042,Unreliable
1999,Massachusetts,25,65-74 years,"Surgical procedure, unspecified",Y83.9,11,431042,Unreliable
1999,Massachusetts,25,75-84 years,Surgical operation with implant of artificial internal device,Y83.1,17,312645,Unreliable
1999,Massachusetts,25,75-84 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,31,312645,9.9
1999,Massachusetts,25,75-84 years,Removal of other organ (partial) (total),Y83.6,25,312645,8
1999,Massachusetts,25,75-84 years,"Surgical procedure, unspecified",Y83.9,31,312645,9.9
1999,Massachusetts,25,85+ years,Surgical operation with implant of artificial internal device,Y83.1,24,114657,20.9
1999,Massachusetts,25,85+ years,"Surgical procedure, unspecified",Y83.9,13,114657,Unreliable
1999,Michigan,26,45-54 years,Surgical operation with transplant of whole organ,Y83.0,13,1330187,Unreliable
1999,Michigan,26,45-54 years,"Surgical procedure, unspecified",Y83.9,12,1330187,Unreliable
1999,Michigan,26,55-64 years,Surgical operation with transplant of whole organ,Y83.0,14,849844,Unreliable
1999,Michigan,26,55-64 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,25,849844,2.9
1999,Michigan,26,55-64 years,Removal of other organ (partial) (total),Y83.6,10,849844,Unreliable
1999,Michigan,26,55-64 years,Other surgical procedures,Y83.8,13,849844,Unreliable
1999,Michigan,26,55-64 years,"Surgical procedure, unspecified",Y83.9,24,849844,2.8
1999,Michigan,26,65-74 years,Surgical operation with implant of artificial internal device,Y83.1,15,645471,Unreliable
1999,Michigan,26,65-74 years,"Surgical operation with anastomosis, bypass or graft",Y83.2,52,645471,8.1
1999,Michigan,26,65-74 years,Other reconstructive surgery,Y83.4,17,645471,Unreliable
1999,Michigan,26,65-74 years,Removal of other organ (partial) (total),Y83.6,18,645471,Unreliable
